339,2;7,6;15,2;283,43;49,2;49,6;79,58654225
282,76;9;18;244,85;24,8;40,4;38,94359468
270,67;9,4;18,8;216,62;18,4;35,2;28,10667795
250;10;20;192,5;14,4;30,8;21,36416185
192,82;12,4;24,8;144,52;10,2;22,4;13,9381997
153,04;14,8;29,6;108,39;8,2;16,8;10,13510462
111,58;18,2;36,4;80;6,4;12,4;6,965986395
106,21;19,2;38,4;52,46;4,2;8;3,688799598
90;21,2;42,4;43,28;2,3;6,6;1,805295611
