0;24,2;24,2;;;;
851;26,2;22,4;;;;
1604;28,2;22,2;;;;
2188;30,2;21,8;;;;
2710;32,2;21,4;;;;
3130;34,2;21,2;;;;
3700;37;21;;;;
3864;38,2;20,8;;;;
4280;41,2;20,6;;;;
4495;42,2;20,4;;;;
4795;44,2;20,2;;;;
5077;46,2;20;;;;
5354;48,2;20;;;;
5500;49,2;19,8;;;;
5600;50;19,8;;;;
0;24,2;24,2;;;;
806;25;23,8;;;;
1025;25,2;23,6;;;;
1340;26;23,4;;;;
1473;26,4;23,2;;;;
1615;26,8;23,2;;;;
1833;27,2;22,8;;;;
2016;27,8;22,8;;;;
2202;28,4;22,8;;;;
